validation_num_trades,validation_net_return,validation_gross_return_mean,validation_win_rate,validation_total_cost,validation_cost_to_initial_cash,validation_avg_target_weight,full_num_trades,full_net_return,full_gross_return_mean,full_win_rate,full_total_cost,full_cost_to_initial_cash,full_avg_target_weight,full_stop_loss_rate,attention_lookback,momentum_lookback,entry_days_before_event,exit_days_before_event,top_k,stop_loss,stop_vol_multiplier,max_effective_stop_loss,min_exposure_for_trade,min_event_fit_for_trade,rankic_prior_weight,attention_z_cap,selection_score
4.0,0.03160097450000002,0.0768646675485235,0.75,1367.0254999999997,0.0013670254999999997,0.08746537763628745,8.0,0.011010788340479334,0.026279531286777097,0.375,2632.5820548644533,0.0026325820548644533,0.08554024238114122,0.5,20,20,90,10,5,0.08,4.0,0.12,0.45,0.7,0.55,1.5,0.013657765660938114
4.0,0.030135763260000007,0.06425453538993314,0.75,1394.03674,0.00139403674,0.08951501881252809,8.0,0.01375209911645252,0.03718977172382229,0.5,2644.7230019314748,0.002644723001931475,0.08606899031315829,0.5,10,20,90,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.0,0.013656263174468662
4.0,0.030135763260000007,0.06425453538993314,0.75,1394.03674,0.00139403674,0.08951501881252809,8.0,0.011965313284091198,0.034708368354146465,0.5,2641.3195190456463,0.0026413195190456464,0.08606899031315829,0.5,10,20,90,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.0,0.013031398655575075
4.0,0.032559079300000016,0.0768646675485235,0.75,1405.9207,0.0014059207,0.09002871382811539,8.0,0.0058290780154181265,0.019950482576041415,0.375,2702.266119301308,0.002702266119301308,0.0876504000901466,0.5,10,20,90,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.5,0.012446758757501163
4.0,0.032559079300000016,0.0768646675485235,0.75,1405.9207,0.0014059207,0.09002871382811539,8.0,0.005779023660674511,0.02045562211684293,0.375,2701.8507483452554,0.0027018507483452556,0.0876504000901466,0.5,10,20,90,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.5,0.012429302038984303
4.0,0.03160097450000002,0.0768646675485235,0.75,1367.0254999999997,0.0013670254999999997,0.08746537763628745,8.0,0.006056722764482945,0.019950482576041415,0.375,2622.000502688776,0.0026220005026887762,0.08554024238114122,0.5,20,20,90,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.5,0.01192542994216573
4.0,0.03160097450000002,0.0768646675485235,0.75,1367.0254999999997,0.0013670254999999997,0.08746537763628745,8.0,0.0060253840860064085,0.02045562211684293,0.375,2621.604066827936,0.002621604066827936,0.08554024238114122,0.5,20,20,90,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.5,0.011914520870078068
4.0,0.032559079300000016,0.0768646675485235,0.75,1405.9207,0.0014059207,0.09002871382811539,8.0,0.004031012097422645,0.017974218747167106,0.375,2698.5225223155285,0.0026985225223155286,0.0876504000901466,0.5,10,20,90,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.5,0.011817997225750608
4.0,0.03005936861523783,0.06558333637399358,0.75,1338.7085159673745,0.0013387085159673746,0.08636214210759288,8.0,0.007479562080146841,0.019950482576041415,0.375,2558.5655567405815,0.0025585655567405816,0.08414824859030497,0.5,20,20,90,10,5,0.08,5.0,0.12,0.45,0.7,0.55,1.0,0.011437974365453052
4.0,0.03160097450000002,0.0768646675485235,0.75,1367.0254999999997,0.0013670254999999997,0.08746537763628745,8.0,0.004275787796091192,0.017974218747167106,0.375,2618.3050070456466,0.0026183050070456466,0.08554024238114122,0.5,20,20,90,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.5,0.011302657027575084
4.0,0.029768508180000004,0.06425453538993314,0.75,1337.8918199999998,0.0013378918199999999,0.08636214210759288,8.0,0.00750973955572892,0.02045562211684293,0.375,2558.308233810711,0.002558308233810711,0.08414824859030497,0.5,20,20,90,10,5,0.1,4.0,0.12,0.45,0.7,0.55,1.0,0.011259719971433517
4.0,0.029768508180000004,0.06425453538993314,0.75,1337.8918199999998,0.0013378918199999999,0.08636214210759288,8.0,0.005720040798759757,0.017974218747167106,0.375,2554.9301877757644,0.0025549301877757645,0.08414824859030497,0.5,20,20,90,10,5,0.1,5.0,0.12,0.45,0.7,0.55,1.0,0.010633832113399551
3.0,0.0370881897,0.11900604718657755,1.0,1165.8103,0.0011658103,0.10336108979260993,6.0,-0.006406801256883693,-0.016268998652373634,0.3333333333333333,2293.0768289856246,0.0022930768289856247,0.10673623466774546,0.6666666666666666,10,20,90,10,3,0.08,4.0,0.12,0.45,0.7,0.55,1.0,0.007896195432409537
3.0,0.0370881897,0.11900604718657755,1.0,1165.8103,0.0011658103,0.10336108979260993,6.0,-0.006406801256883693,-0.016268998652373634,0.3333333333333333,2293.0768289856246,0.0022930768289856247,0.10673623466774546,0.6666666666666666,10,20,90,10,3,0.08,4.0,0.12,0.5,0.7,0.55,1.0,0.007896195432409537
3.0,0.0370881897,0.11900604718657755,1.0,1165.8103,0.0011658103,0.10336108979260993,6.0,-0.006406801256883693,-0.016268998652373634,0.3333333333333333,2293.0768289856246,0.0022930768289856247,0.10673623466774546,0.6666666666666666,10,20,90,10,5,0.08,4.0,0.12,0.5,0.7,0.55,1.0,0.007896195432409537
